Sequence  | Address         | Length  | TermCode            | Uri                                                                                       | Data
0         | 7ff7c85ab790h   | 14      | CTC_RET_INTR        | hex://intrinsics/dinxfp?takemask#takemask_(v128x64f)                                      | c5 f8 77 66 90 c5 f9 10 01 c5 f9 50 c0 c3
1         | 7ff7c85ab7b0h   | 17      | CTC_RET_INTR        | hex://intrinsics/dinxfp?takemask#takemask_(v256x32f)                                      | c5 f8 77 66 90 c5 fd 10 01 c5 fc 50 c0 c5 f8 77 c3
2         | 7ff7c85ab7e0h   | 17      | CTC_RET_INTR        | hex://intrinsics/dinxfp?takemask#takemask_(v256x64f)                                      | c5 f8 77 66 90 c5 fd 10 01 c5 fd 50 c0 c5 f8 77 c3
3         | 7ff7c85ab810h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vunpackhi#vunpackhi_(v128x32f,v128x32f)                           | c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 15 00 c5 f9 11 01 48 8b c1 c3
4         | 7ff7c85ab840h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vunpackhi#vunpackhi_(v128x64f,v128x64f)                           | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 15 00 c5 f9 11 01 48 8b c1 c3
5         | 7ff7c85ab870h   | 25      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vunpackhi#vunpackhi_(v256x32f,v256x32f)                           | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7c 15 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
6         | 7ff7c85ab8a0h   | 25      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vunpackhi#vunpackhi_(v256x64f,v256x64f)                           | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 15 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
7         | 7ff7c85ab8d0h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vunpacklo#vunpacklo_(v128x32f,v128x32f)                           | c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 14 00 c5 f9 11 01 48 8b c1 c3
8         | 7ff7c85ab900h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vunpacklo#vunpacklo_(v128x64f,v128x64f)                           | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 14 00 c5 f9 11 01 48 8b c1 c3
9         | 7ff7c85ab930h   | 25      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vunpacklo#vunpacklo_(v256x32f,v256x32f)                           | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7c 14 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
10        | 7ff7c85ab960h   | 25      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vunpacklo#vunpacklo_(v256x64f,v256x64f)                           | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 14 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
11        | 7ff7c85ab990h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vand#vand_(v128x32f,v128x32f)                                     | c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 54 00 c5 f9 11 01 48 8b c1 c3
12        | 7ff7c85ab9c0h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vand#vand_(v128x64f,v128x64f)                                     | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 54 00 c5 f9 11 01 48 8b c1 c3
13        | 7ff7c85ab9f0h   | 25      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vand#vand_(v256x32f,v256x32f)                                     | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7c 54 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
14        | 7ff7c85aba20h   | 25      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vand#vand_(v256x64f,v256x64f)                                     | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 54 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
15        | 7ff7c85aba50h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vandnot#vandnot_(v128x32f,v128x32f)                               | c5 f8 77 66 90 c4 c1 79 10 00 c5 f8 55 02 c5 f9 11 01 48 8b c1 c3
16        | 7ff7c85aba80h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vandnot#vandnot_(v128x64f,v128x64f)                               | c5 f8 77 66 90 c4 c1 79 10 00 c5 f9 55 02 c5 f9 11 01 48 8b c1 c3
17        | 7ff7c85abab0h   | 25      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vandnot#vandnot_(v256x32f,v256x32f)                               | c5 f8 77 66 90 c4 c1 7d 10 00 c5 fc 55 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3
18        | 7ff7c85abae0h   | 25      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vandnot#vandnot_(v256x64f,v256x64f)                               | c5 f8 77 66 90 c4 c1 7d 10 00 c5 fd 55 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3
19        | 7ff7c85abb10h   | 30      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vxor1#vxor1_(v128x32f)                                            | c5 f8 77 66 90 c5 f8 57 c0 c5 f0 57 c9 c5 f8 c2 c1 00 c5 f8 57 02 c5 f9 11 01 48 8b c1 c3
20        | 7ff7c85abb50h   | 30      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vxor1#vxor1_(v128x64f)                                            | c5 f8 77 66 90 c5 f8 57 c0 c5 f0 57 c9 c5 f9 c2 c1 00 c5 f9 57 02 c5 f9 11 01 48 8b c1 c3
21        | 7ff7c85abb90h   | 33      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vxor1#vxor1_(v256x32f)                                            | c5 f8 77 66 90 c5 fc 57 c0 c5 f4 57 c9 c5 fc c2 c1 00 c5 fc 57 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3
22        | 7ff7c85abbd0h   | 33      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vxor1#vxor1_(v256x64f)                                            | c5 f8 77 66 90 c5 fc 57 c0 c5 f4 57 c9 c5 fd c2 c1 00 c5 fd 57 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3
23        | 7ff7c85abc10h   | 31      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vxnor#vxnor_(v128x32f,v128x32f)                                   | c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 57 00 c5 f8 c2 c8 00 c5 f8 57 c1 c5 f9 11 01 48 8b c1 c3
24        | 7ff7c85abc50h   | 31      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vxnor#vxnor_(v128x64f,v128x64f)                                   | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 57 00 c5 f9 c2 c8 00 c5 f9 57 c1 c5 f9 11 01 48 8b c1 c3
25        | 7ff7c85abc90h   | 34      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vxnor#vxnor_(v256x32f,v256x32f)                                   | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7c 57 00 c5 fc c2 c8 00 c5 fc 57 c1 c5 fd 11 01 48 8b c1 c5 f8 77 c3
26        | 7ff7c85abcd0h   | 34      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vxnor#vxnor_(v256x64f,v256x64f)                                   | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 57 00 c5 fd c2 c8 00 c5 fd 57 c1 c5 fd 11 01 48 8b c1 c5 f8 77 c3
27        | 7ff7c85abd10h   | 26      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vnot#vnot_(v128x32f)                                              | c5 f8 77 66 90 c5 f9 10 02 c5 f8 c2 02 00 c5 f8 57 02 c5 f9 11 01 48 8b c1 c3
28        | 7ff7c85abd40h   | 26      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vnot#vnot_(v128x64f)                                              | c5 f8 77 66 90 c5 f9 10 02 c5 f9 c2 02 00 c5 f9 57 02 c5 f9 11 01 48 8b c1 c3
29        | 7ff7c85abd70h   | 29      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vnot#vnot_(v256x32f)                                              | c5 f8 77 66 90 c5 fd 10 02 c5 fc c2 02 00 c5 fc 57 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3
30        | 7ff7c85abdb0h   | 29      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vnot#vnot_(v256x64f)                                              | c5 f8 77 66 90 c5 fd 10 02 c5 fd c2 02 00 c5 fd 57 02 c5 fd 11 01 48 8b c1 c5 f8 77 c3
31        | 7ff7c85abdf0h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vxor#vxor_(v128x32f,v128x32f)                                     | c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 57 00 c5 f9 11 01 48 8b c1 c3
32        | 7ff7c85abe20h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vxor#vxor_(v128x64f,v128x64f)                                     | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 57 00 c5 f9 11 01 48 8b c1 c3
33        | 7ff7c85abe50h   | 25      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vxor#vxor_(v256x32f,v256x32f)                                     | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7c 57 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
34        | 7ff7c85abe80h   | 25      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vxor#vxor_(v256x64f,v256x64f)                                     | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 57 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
35        | 7ff7c85abeb0h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vxor#vxor_(v128x32f~in,v128x32f~in)                               | c5 f8 77 66 90 c5 f9 10 02 c4 c1 78 57 00 c5 f9 11 01 48 8b c1 c3
36        | 7ff7c85abee0h   | 22      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vxor#vxor_(v128x64f~in,v128x64f~in)                               | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 57 00 c5 f9 11 01 48 8b c1 c3
37        | 7ff7c85abf10h   | 25      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vxor#vxor_(v256x32f~in,v256x32f~in)                               | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7c 57 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
38        | 7ff7c85abf40h   | 25      | CTC_RET_INTR        | hex://intrinsics/dinxfp?vxor#vxor_(v256x64f~in,v256x64f~in)                               | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d 57 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3
