Sequence  | Length  | TermCode            | Uri                                                                   | Data
0         | 25      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?load#load_(32f)                              | c5 f8 77 66 90 c5 fa 11 4c 24 10 c5 fa 10 44 24 10 c5 f9 11 01 48 8b c1 c3
1         | 25      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?load#load_(64f)                              | c5 f8 77 66 90 c5 fb 11 4c 24 10 c5 fb 10 44 24 10 c5 f9 11 01 48 8b c1 c3
2         | 41      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?store#store_(v128x32f)                       | 50 c5 f8 77 33 c0 89 44 24 04 c5 f8 57 c0 c5 fa 11 44 24 04 c5 f9 10 01 c5 fa 11 44 24 04 c5 fa 10 44 24 04 48 83 c4 08 c3
3         | 38      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?store#store_(v128x64f)                       | 50 c5 f8 77 33 c0 48 89 04 24 c5 f8 57 c0 c5 fb 11 04 24 c5 f9 10 01 c5 fb 11 04 24 c5 fb 10 04 24 48 83 c4 08 c3
4         | 21      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?convert#convert_(32i,v128x64f~out)           | c5 f8 77 66 90 c5 f8 57 c0 c5 fb 2a c1 c5 f9 11 02 48 8b c2 c3
5         | 21      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?convert#convert_(32i,v128x32f~out)           | c5 f8 77 66 90 c5 f8 57 c0 c5 fa 2a c1 c5 f9 11 02 48 8b c2 c3
6         | 22      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?convert#convert_(64i,v128x32f~out)           | c5 f8 77 66 90 c5 f8 57 c0 c4 e1 fa 2a c1 c5 f9 11 02 48 8b c2 c3
7         | 18      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?to32i#to32i_(32f)                            | c5 f8 77 66 90 c5 fa 11 44 24 08 c5 fa 2d 44 24 08 c3
8         | 18      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?to32i#to32i_(64f)                            | c5 f8 77 66 90 c5 fb 11 44 24 08 c5 fb 2d 44 24 08 c3
9         | 19      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?to64i#to64i_(32f)                            | c5 f8 77 66 90 c5 fa 11 44 24 08 c4 e1 fa 2d 44 24 08 c3
10        | 19      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?to64i#to64i_(64f)                            | c5 f8 77 66 90 c5 fb 11 44 24 08 c4 e1 fb 2d 44 24 08 c3
11        | 22      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?add#add_(v128x32f,v128x32f)                  | c5 f8 77 66 90 c5 f9 10 02 c4 c1 7a 58 00 c5 f9 11 01 48 8b c1 c3
12        | 22      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?add#add_(v128x64f,v128x64f)                  | c5 f8 77 66 90 c5 f9 10 02 c4 c1 7b 58 00 c5 f9 11 01 48 8b c1 c3
13        | 22      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?mul#mul_(v128x32f,v128x32f)                  | c5 f8 77 66 90 c5 f9 10 02 c4 c1 7a 59 00 c5 f9 11 01 48 8b c1 c3
14        | 22      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?mul#mul_(v128x64f,v128x64f)                  | c5 f8 77 66 90 c5 f9 10 02 c4 c1 7b 59 00 c5 f9 11 01 48 8b c1 c3
15        | 27      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?fmadd#fmadd_(v128x32f,v128x32f,v128x32f)     | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 10 08 c4 c2 71 a9 01 c5 f9 11 01 48 8b c1 c3
16        | 27      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?fmadd#fmadd_(v128x64f,v128x64f,v128x64f)     | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 10 08 c4 c2 f1 a9 01 c5 f9 11 01 48 8b c1 c3
17        | 27      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?fmsub#fmsub_(v128x32f,v128x32f,v128x32f)     | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 10 08 c4 c2 71 ab 01 c5 f9 11 01 48 8b c1 c3
18        | 27      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?fmsub#fmsub_(v128x64f,v128x64f,v128x64f)     | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 10 08 c4 c2 f1 ab 01 c5 f9 11 01 48 8b c1 c3
19        | 27      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?fnmadd#fnmadd_(v128x32f,v128x32f,v128x32f)   | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 10 08 c4 c2 71 ad 01 c5 f9 11 01 48 8b c1 c3
20        | 27      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?fnmadd#fnmadd_(v128x64f,v128x64f,v128x64f)   | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 10 08 c4 c2 f1 ad 01 c5 f9 11 01 48 8b c1 c3
21        | 22      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?div#div_(v128x32f,v128x32f)                  | c5 f8 77 66 90 c5 f9 10 02 c4 c1 7a 5e 00 c5 f9 11 01 48 8b c1 c3
22        | 22      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?div#div_(v128x64f,v128x64f)                  | c5 f8 77 66 90 c5 f9 10 02 c4 c1 7b 5e 00 c5 f9 11 01 48 8b c1 c3
23        | 22      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?sub#sub_(v128x32f,v128x32f)                  | c5 f8 77 66 90 c5 f9 10 02 c4 c1 7a 5c 00 c5 f9 11 01 48 8b c1 c3
24        | 22      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?sub#sub_(v128x64f,v128x64f)                  | c5 f8 77 66 90 c5 f9 10 02 c4 c1 7b 5c 00 c5 f9 11 01 48 8b c1 c3
25        | 22      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?max#max_(v128x32f,v128x32f)                  | c5 f8 77 66 90 c5 f9 10 02 c4 c1 7a 5f 00 c5 f9 11 01 48 8b c1 c3
26        | 22      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?max#max_(v128x64f,v128x64f)                  | c5 f8 77 66 90 c5 f9 10 02 c4 c1 7b 5f 00 c5 f9 11 01 48 8b c1 c3
27        | 22      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?min#min_(v128x32f,v128x32f)                  | c5 f8 77 66 90 c5 f9 10 02 c4 c1 7a 5d 00 c5 f9 11 01 48 8b c1 c3
28        | 22      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?min#min_(v128x64f,v128x64f)                  | c5 f8 77 66 90 c5 f9 10 02 c4 c1 7b 5d 00 c5 f9 11 01 48 8b c1 c3
29        | 27      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?eq#eq_(v128x32f,v128x32f)                    | c5 f8 77 66 90 c5 f9 10 01 c5 f8 2e 02 0f 9b c2 0f 94 c0 22 c2 0f b6 d0 8b c2 c3
30        | 27      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?eq#eq_(v128x64f,v128x64f)                    | c5 f8 77 66 90 c5 f9 10 01 c5 f9 2e 02 0f 9b c2 0f 94 c0 22 c2 0f b6 d0 8b c2 c3
31        | 27      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?neq#neq_(v128x32f,v128x32f)                  | c5 f8 77 66 90 c5 f9 10 01 c5 f8 2f 02 0f 9a c2 0f 95 c0 0a c2 0f b6 d0 8b c2 c3
32        | 27      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?neq#neq_(v128x64f,v128x64f)                  | c5 f8 77 66 90 c5 f9 10 01 c5 f9 2f 02 0f 9a c2 0f 95 c0 0a c2 0f b6 d0 8b c2 c3
33        | 20      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?gt#gt_(v128x32f,v128x32f)                    | c5 f8 77 66 90 c5 f9 10 01 c5 f8 2f 02 0f 97 c0 0f b6 c0 c3
34        | 20      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?gt#gt_(v128x64f,v128x64f)                    | c5 f8 77 66 90 c5 f9 10 01 c5 f9 2f 02 0f 97 c0 0f b6 c0 c3
35        | 20      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?gteq#gteq_(v128x32f,v128x32f)                | c5 f8 77 66 90 c5 f9 10 01 c5 f8 2f 02 0f 93 c0 0f b6 c0 c3
36        | 20      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?gteq#gteq_(v128x64f,v128x64f)                | c5 f8 77 66 90 c5 f9 10 01 c5 f9 2f 02 0f 93 c0 0f b6 c0 c3
37        | 45      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?ngt#ngt_(v128x32f,v128x32f)                  | 50 c5 f8 77 90 c5 f9 10 01 c5 fa c2 02 02 c5 fa 11 44 24 04 8b 44 24 04 25 ff ff ff 7f 3d 00 00 80 7f 0f 9f c0 0f b6 c0 48 83 c4 08 c3
38        | 60      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?ngt#ngt_(v128x64f,v128x64f)                  | 50 c5 f8 77 90 c5 f9 10 01 c5 fb c2 02 02 c5 fb 11 04 24 48 8b 04 24 48 ba ff ff ff ff ff ff ff 7f 48 23 c2 48 ba 00 00 00 00 00 00 f0 7f 48 3b c2 0f 9f c0 0f b6 c0 48 83 c4 08 c3
39        | 20      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?lt#lt_(v128x32f,v128x32f)                    | c5 f8 77 66 90 c5 f9 10 02 c5 f8 2f 01 0f 97 c0 0f b6 c0 c3
40        | 20      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?lt#lt_(v128x64f,v128x64f)                    | c5 f8 77 66 90 c5 f9 10 02 c5 f9 2f 01 0f 97 c0 0f b6 c0 c3
41        | 45      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?nlt#nlt_(v128x32f,v128x32f)                  | 50 c5 f8 77 90 c5 f9 10 01 c5 fa c2 02 05 c5 fa 11 44 24 04 8b 44 24 04 25 ff ff ff 7f 3d 00 00 80 7f 0f 9f c0 0f b6 c0 48 83 c4 08 c3
42        | 60      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?nlt#nlt_(v128x64f,v128x64f)                  | 50 c5 f8 77 90 c5 f9 10 01 c5 fb c2 02 05 c5 fb 11 04 24 48 8b 04 24 48 ba ff ff ff ff ff ff ff 7f 48 23 c2 48 ba 00 00 00 00 00 00 f0 7f 48 3b c2 0f 9f c0 0f b6 c0 48 83 c4 08 c3
43        | 20      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?lteq#lteq_(v128x32f,v128x32f)                | c5 f8 77 66 90 c5 f9 10 02 c5 f8 2e 01 0f 93 c0 0f b6 c0 c3
44        | 20      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?lteq#lteq_(v128x64f,v128x64f)                | c5 f8 77 66 90 c5 f9 10 02 c5 f9 2e 01 0f 93 c0 0f b6 c0 c3
45        | 63      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?cmp#cmp_(v128x32f,v128x32f,FpCmpMode~8u)     | 56 48 83 ec 40 c5 f8 77 48 8b f1 c5 f9 10 02 c4 c1 79 10 08 48 8b ce c5 f9 29 44 24 30 c5 f9 29 4c 24 20 48 8d 54 24 30 4c 8d 44 24 20 45 0f b6 c9 e8 b2 d6 10 ff 48 8b c6 48 83 c4 40 5e c3
46        | 63      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?cmp#cmp_(v128x64f,v128x64f,FpCmpMode~8u)     | 56 48 83 ec 40 c5 f8 77 48 8b f1 c5 f9 10 02 c4 c1 79 10 08 48 8b ce c5 f9 29 44 24 30 c5 f9 29 4c 24 20 48 8d 54 24 30 4c 8d 44 24 20 45 0f b6 c9 e8 4a d6 10 ff 48 8b c6 48 83 c4 40 5e c3
47        | 23      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?ceil#ceil_(v128x32f)                         | c5 f8 77 66 90 c5 f9 10 02 c4 e3 79 0a c0 0a c5 f9 11 01 48 8b c1 c3
48        | 23      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?ceil#ceil_(v128x64f)                         | c5 f8 77 66 90 c5 f9 10 02 c4 e3 79 0b c0 0a c5 f9 11 01 48 8b c1 c3
49        | 23      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?floor#floor_(v128x32f)                       | c5 f8 77 66 90 c5 f9 10 02 c4 e3 79 0a c0 0a c5 f9 11 01 48 8b c1 c3
50        | 23      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?floor#floor_(v128x64f)                       | c5 f8 77 66 90 c5 f9 10 02 c4 e3 79 0b c0 0a c5 f9 11 01 48 8b c1 c3
51        | 21      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?rcp#rcp_(v128x32f)                           | c5 f8 77 66 90 c5 f9 10 02 c5 fa 53 c0 c5 f9 11 01 48 8b c1 c3
52        | 21      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?sqrt#sqrt_(v128x32f)                         | c5 f8 77 66 90 c5 f9 10 02 c5 fa 51 c0 c5 f9 11 01 48 8b c1 c3
53        | 21      | CTC_RET_INTR        | hex://intrinsics/dinxsfp?sqrt#sqrt_(v128x64f)                         | c5 f8 77 66 90 c5 f9 10 02 c5 fb 51 c0 c5 f9 11 01 48 8b c1 c3
