Sequence  | Length  | TermCode            | Uri                                                                   | Data
0         | 21      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vscalar#vscalar_g[8u](n128,8u)             | c5 f8 77 66 90 41 0f b6 c0 c5 f9 6e c0 c5 f9 11 01 48 8b c1 c3
1         | 21      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vscalar#vscalar_g[8i](n128,8i)             | c5 f8 77 66 90 49 0f be c0 c5 f9 6e c0 c5 f9 11 01 48 8b c1 c3
2         | 21      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vscalar#vscalar_g[16u](n128,16u)           | c5 f8 77 66 90 41 0f b7 c0 c5 f9 6e c0 c5 f9 11 01 48 8b c1 c3
3         | 21      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vscalar#vscalar_g[16i](n128,16i)           | c5 f8 77 66 90 49 0f bf c0 c5 f9 6e c0 c5 f9 11 01 48 8b c1 c3
4         | 18      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vscalar#vscalar_g[32u](n128,32u)           | c5 f8 77 66 90 c4 c1 79 6e c0 c5 f9 11 01 48 8b c1 c3
5         | 18      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vscalar#vscalar_g[32i](n128,32i)           | c5 f8 77 66 90 c4 c1 79 6e c0 c5 f9 11 01 48 8b c1 c3
6         | 18      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vscalar#vscalar_g[64u](n128,64u)           | c5 f8 77 66 90 c4 c1 f9 6e c0 c5 f9 11 01 48 8b c1 c3
7         | 18      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vscalar#vscalar_g[64i](n128,64i)           | c5 f8 77 66 90 c4 c1 f9 6e c0 c5 f9 11 01 48 8b c1 c3
8         | 13      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vscalar#vscalar_g[32f](n128,32f)           | c5 f8 77 66 90 c5 f9 11 11 48 8b c1 c3
9         | 13      | CTC_RET_INTR        | hex://intrinsics/CpuVector?vscalar#vscalar_g[64f](n128,64f)           | c5 f8 77 66 90 c5 f9 11 11 48 8b c1 c3
