TermCode            | Size    | Uri
CTC_RET_INTR        | 35      | asm://intrinsics/bitpack?pack8_g#pack8_gb128x16i~in_32i
CTC_RET_INTR        | 35      | asm://intrinsics/bitpack?pack8_g#pack8_gb128x16u~in_32i
CTC_RET_INTR        | 35      | asm://intrinsics/bitpack?pack8_g#pack8_gb128x32i~in_32i
CTC_RET_INTR        | 35      | asm://intrinsics/bitpack?pack8_g#pack8_gb128x32u~in_32i
CTC_RET_INTR        | 34      | asm://intrinsics/bitpack?pack8_g#pack8_gb128x64i~in_32i
CTC_RET_INTR        | 34      | asm://intrinsics/bitpack?pack8_g#pack8_gb128x64u~in_32i
CTC_RET_INTR        | 34      | asm://intrinsics/bitpack?pack8_g#pack8_gb128x8i~in_32i
CTC_RET_INTR        | 34      | asm://intrinsics/bitpack?pack8_g#pack8_gb128x8u~in_32i
CTC_RET_INTR        | 35      | asm://intrinsics/bitpack?pack8_g#pack8_gb256x16i~in_32i
CTC_RET_INTR        | 35      | asm://intrinsics/bitpack?pack8_g#pack8_gb256x16u~in_32i
CTC_RET_INTR        | 35      | asm://intrinsics/bitpack?pack8_g#pack8_gb256x32i~in_32i
CTC_RET_INTR        | 35      | asm://intrinsics/bitpack?pack8_g#pack8_gb256x32u~in_32i
CTC_RET_INTR        | 35      | asm://intrinsics/bitpack?pack8_g#pack8_gb256x64i~in_32i
CTC_RET_INTR        | 35      | asm://intrinsics/bitpack?pack8_g#pack8_gb256x64u~in_32i
CTC_RET_INTR        | 34      | asm://intrinsics/bitpack?pack8_g#pack8_gb256x8i~in_32i
CTC_RET_INTR        | 34      | asm://intrinsics/bitpack?pack8_g#pack8_gb256x8u~in_32i
CTC_RET_Zx3         | 30      | asm://intrinsics/bitpack?pack8_g#pack8_gb32x16i~in_32i
CTC_RET_Zx3         | 30      | asm://intrinsics/bitpack?pack8_g#pack8_gb32x16u~in_32i
CTC_RET_SBB         | 28      | asm://intrinsics/bitpack?pack8_g#pack8_gb32x32i~in_32i
CTC_RET_SBB         | 28      | asm://intrinsics/bitpack?pack8_g#pack8_gb32x32u~in_32i
CTC_RET_SBB         | 24      | asm://intrinsics/bitpack?pack8_g#pack8_gb32x64i~in_32i
CTC_RET_SBB         | 24      | asm://intrinsics/bitpack?pack8_g#pack8_gb32x64u~in_32i
CTC_RET_ZED_SBB     | 31      | asm://intrinsics/bitpack?pack8_g#pack8_gb32x8i~in_32i
CTC_RET_ZED_SBB     | 31      | asm://intrinsics/bitpack?pack8_g#pack8_gb32x8u~in_32i
CTC_RET_INTR        | 69      | asm://intrinsics/bitpack?pack8_g#pack8_gb512x16i~in_32i
CTC_RET_INTR        | 69      | asm://intrinsics/bitpack?pack8_g#pack8_gb512x16u~in_32i
CTC_RET_INTR        | 71      | asm://intrinsics/bitpack?pack8_g#pack8_gb512x32i~in_32i
CTC_RET_INTR        | 71      | asm://intrinsics/bitpack?pack8_g#pack8_gb512x32u~in_32i
CTC_RET_INTR        | 71      | asm://intrinsics/bitpack?pack8_g#pack8_gb512x64i~in_32i
CTC_RET_INTR        | 71      | asm://intrinsics/bitpack?pack8_g#pack8_gb512x64u~in_32i
CTC_RET_INTR        | 68      | asm://intrinsics/bitpack?pack8_g#pack8_gb512x8i~in_32i
CTC_RET_INTR        | 68      | asm://intrinsics/bitpack?pack8_g#pack8_gb512x8u~in_32i
CTC_RET_Zx3         | 41      | asm://intrinsics/bitpack?pack8_g#pack8_gb64x16i~in_32i
CTC_RET_Zx3         | 37      | asm://intrinsics/bitpack?pack8_g#pack8_gb64x16u~in_32i
CTC_RET_Zx3         | 38      | asm://intrinsics/bitpack?pack8_g#pack8_gb64x32i~in_32i
CTC_RET_ZED_SBB     | 35      | asm://intrinsics/bitpack?pack8_g#pack8_gb64x32u~in_32i
CTC_RET_Zx3         | 34      | asm://intrinsics/bitpack?pack8_g#pack8_gb64x64i~in_32i
CTC_RET_Zx3         | 34      | asm://intrinsics/bitpack?pack8_g#pack8_gb64x64u~in_32i
CTC_RET_Zx3         | 41      | asm://intrinsics/bitpack?pack8_g#pack8_gb64x8i~in_32i
CTC_RET_Zx3         | 37      | asm://intrinsics/bitpack?pack8_g#pack8_gb64x8u~in_32i
CTC_RET_INTR        | 36      | asm://intrinsics/bitpack?pack8_g#pack8_gv128x16i_8u
CTC_RET_INTR        | 36      | asm://intrinsics/bitpack?pack8_g#pack8_gv128x16u_8u
CTC_RET_INTR        | 36      | asm://intrinsics/bitpack?pack8_g#pack8_gv128x32i_8u
CTC_RET_INTR        | 36      | asm://intrinsics/bitpack?pack8_g#pack8_gv128x32u_8u
