TermCode            | Size    | Uri
CTC_INTRx2          | 1963    | asm://logix/bitmatrix.api?eval_g#eval_gBinaryBitLogicKind~8u_bm16x16u_bm16x16u
CTC_INTRx2          | 2056    | asm://logix/bitmatrix.api?eval_g#eval_gBinaryBitLogicKind~8u_bm16x16u_bm16x16u_bm16x16u~ref
CTC_INTRx2          | 2635    | asm://logix/bitmatrix.api?eval_g#eval_gBinaryBitLogicKind~8u_bm32x32u_bm32x32u
CTC_INTRx2          | 2701    | asm://logix/bitmatrix.api?eval_g#eval_gBinaryBitLogicKind~8u_bm32x32u_bm32x32u_bm32x32u~ref
CTC_INTRx2          | 2637    | asm://logix/bitmatrix.api?eval_g#eval_gBinaryBitLogicKind~8u_bm64x64u_bm64x64u
CTC_INTRx2          | 2704    | asm://logix/bitmatrix.api?eval_g#eval_gBinaryBitLogicKind~8u_bm64x64u_bm64x64u_bm64x64u~ref
CTC_RET_Zx7         | 113     | asm://logix/bitmatrix.api?eval_g#eval_gBinaryBitLogicKind~8u_bm8x8u_bm8x8u
CTC_INTRx2          | 903     | asm://logix/bitmatrix.api?eval_g#eval_gBinaryBitLogicKind~8u_bm8x8u_bm8x8u_bm8x8u~ref
CTC_INTRx2          | 299     | asm://logix/bitmatrix.api?eval_g#eval_gUnaryBitLogicKind~8u_bm16x16u
CTC_INTRx2          | 340     | asm://logix/bitmatrix.api?eval_g#eval_gUnaryBitLogicKind~8u_bm16x16u_bm16x16u~ref
CTC_INTRx2          | 331     | asm://logix/bitmatrix.api?eval_g#eval_gUnaryBitLogicKind~8u_bm32x32u
CTC_INTRx2          | 377     | asm://logix/bitmatrix.api?eval_g#eval_gUnaryBitLogicKind~8u_bm32x32u_bm32x32u~ref
CTC_INTRx2          | 332     | asm://logix/bitmatrix.api?eval_g#eval_gUnaryBitLogicKind~8u_bm64x64u
CTC_INTRx2          | 378     | asm://logix/bitmatrix.api?eval_g#eval_gUnaryBitLogicKind~8u_bm64x64u_bm64x64u~ref
CTC_INTRx2          | 260     | asm://logix/bitmatrix.api?eval_g#eval_gUnaryBitLogicKind~8u_bm8x8u
CTC_INTRx2          | 302     | asm://logix/bitmatrix.api?eval_g#eval_gUnaryBitLogicKind~8u_bm8x8u_bm8x8u~ref
CTC_RET_Zx7         | 1056    | asm://logix/bitmatrix.api?lookup_g#lookup_gBinaryBitLogicKind~8u
CTC_RET_Zx7         | 1056    | asm://logix/bitmatrix.api?lookup_g#lookup_gBinaryBitLogicKind~8u
CTC_RET_Zx7         | 938     | asm://logix/bitmatrix.api?lookup_g#lookup_gBinaryBitLogicKind~8u
CTC_RET_Zx7         | 1056    | asm://logix/bitmatrix.api?lookup_g#lookup_gBinaryBitLogicKind~8u
CTC_RET_INTR        | 108     | asm://logix/bitmatrix.ops?and_g#and_gbm16x16u~in_bm16x16u~in
CTC_RET_INTR        | 37      | asm://logix/bitmatrix.ops?and_g#and_gbm16x16u~in_bm16x16u~in_bm16x16u~ref
CTC_RET_INTR        | 147     | asm://logix/bitmatrix.ops?and_g#and_gbm32x32u~in_bm32x32u~in
CTC_RET_INTR        | 77      | asm://logix/bitmatrix.ops?and_g#and_gbm32x32u~in_bm32x32u~in_bm32x32u~ref
CTC_RET_INTR        | 147     | asm://logix/bitmatrix.ops?and_g#and_gbm64x64u~in_bm64x64u~in
CTC_RET_INTR        | 77      | asm://logix/bitmatrix.ops?and_g#and_gbm64x64u~in_bm64x64u~in_bm64x64u~ref
CTC_RET_INTR        | 101     | asm://logix/bitmatrix.ops?and_g#and_gbm8x8u~in_bm8x8u~in
CTC_RET_Zx3         | 30      | asm://logix/bitmatrix.ops?and_g#and_gbm8x8u~in_bm8x8u~in_bm8x8u~ref
CTC_RET_INTR        | 45      | asm://logix/bitmatrix.ops?cimpl_g#cimpl_gbm16x16u~in_bm16x16u~in_bm16x16u~ref
CTC_RET_INTR        | 85      | asm://logix/bitmatrix.ops?cimpl_g#cimpl_gbm32x32u~in_bm32x32u~in_bm32x32u~ref
CTC_RET_INTR        | 86      | asm://logix/bitmatrix.ops?cimpl_g#cimpl_gbm64x64u~in_bm64x64u~in_bm64x64u~ref
CTC_RET_Zx3         | 33      | asm://logix/bitmatrix.ops?cimpl_g#cimpl_gbm8x8u~in_bm8x8u~in_bm8x8u~ref
CTC_RET_INTR        | 108     | asm://logix/bitmatrix.ops?cnonimpl_g#cnonimpl_gbm16x16u~in_bm16x16u~in
CTC_RET_INTR        | 37      | asm://logix/bitmatrix.ops?cnonimpl_g#cnonimpl_gbm16x16u~in_bm16x16u~in_bm16x16u~ref
CTC_RET_INTR        | 147     | asm://logix/bitmatrix.ops?cnonimpl_g#cnonimpl_gbm32x32u~in_bm32x32u~in
CTC_RET_INTR        | 77      | asm://logix/bitmatrix.ops?cnonimpl_g#cnonimpl_gbm32x32u~in_bm32x32u~in_bm32x32u~ref
CTC_RET_INTR        | 147     | asm://logix/bitmatrix.ops?cnonimpl_g#cnonimpl_gbm64x64u~in_bm64x64u~in
CTC_RET_INTR        | 77      | asm://logix/bitmatrix.ops?cnonimpl_g#cnonimpl_gbm64x64u~in_bm64x64u~in_bm64x64u~ref
CTC_RET_INTR        | 103     | asm://logix/bitmatrix.ops?cnonimpl_g#cnonimpl_gbm8x8u~in_bm8x8u~in
CTC_RET_SBB         | 32      | asm://logix/bitmatrix.ops?cnonimpl_g#cnonimpl_gbm8x8u~in_bm8x8u~in_bm8x8u~ref
CTC_JMP_RAX         | 18      | asm://logix/bitmatrix.ops?false_g#false_g
CTC_JMP_RAX         | 18      | asm://logix/bitmatrix.ops?false_g#false_g
CTC_JMP_RAX         | 18      | asm://logix/bitmatrix.ops?false_g#false_g
CTC_JMP_RAX         | 18      | asm://logix/bitmatrix.ops?false_g#false_g
CTC_JMP_RAX         | 18      | asm://logix/bitmatrix.ops?false_g#false_gbm16x16u~in
CTC_JMP_RAX         | 18      | asm://logix/bitmatrix.ops?false_g#false_gbm16x16u~in_bm16x16u~in
CTC_RET_INTR        | 67      | asm://logix/bitmatrix.ops?false_g#false_gbm16x16u~in_bm16x16u~in_bm16x16u~ref
CTC_JMP_RAX         | 18      | asm://logix/bitmatrix.ops?false_g#false_gbm32x32u~in
CTC_JMP_RAX         | 18      | asm://logix/bitmatrix.ops?false_g#false_gbm32x32u~in_bm32x32u~in
CTC_RET_INTR        | 67      | asm://logix/bitmatrix.ops?false_g#false_gbm32x32u~in_bm32x32u~in_bm32x32u~ref
CTC_JMP_RAX         | 18      | asm://logix/bitmatrix.ops?false_g#false_gbm64x64u~in
CTC_JMP_RAX         | 18      | asm://logix/bitmatrix.ops?false_g#false_gbm64x64u~in_bm64x64u~in
CTC_RET_INTR        | 67      | asm://logix/bitmatrix.ops?false_g#false_gbm64x64u~in_bm64x64u~in_bm64x64u~ref
CTC_JMP_RAX         | 18      | asm://logix/bitmatrix.ops?false_g#false_gbm8x8u~in
CTC_JMP_RAX         | 18      | asm://logix/bitmatrix.ops?false_g#false_gbm8x8u~in_bm8x8u~in
CTC_RET_INTR        | 67      | asm://logix/bitmatrix.ops?false_g#false_gbm8x8u~in_bm8x8u~in_bm8x8u~ref
CTC_RET_SBB         | 28      | asm://logix/bitmatrix.ops?identity_g#identity_gbm16x16u~in
CTC_INTRx2          | 100     | asm://logix/bitmatrix.ops?identity_g#identity_gbm16x16u~in_bm16x16u~ref
CTC_RET_SBB         | 28      | asm://logix/bitmatrix.ops?identity_g#identity_gbm32x32u~in
CTC_INTRx2          | 101     | asm://logix/bitmatrix.ops?identity_g#identity_gbm32x32u~in_bm32x32u~ref
CTC_RET_SBB         | 28      | asm://logix/bitmatrix.ops?identity_g#identity_gbm64x64u~in
CTC_INTRx2          | 101     | asm://logix/bitmatrix.ops?identity_g#identity_gbm64x64u~in_bm64x64u~ref
CTC_RET_SBB         | 28      | asm://logix/bitmatrix.ops?identity_g#identity_gbm8x8u~in
CTC_INTRx2          | 97      | asm://logix/bitmatrix.ops?identity_g#identity_gbm8x8u~in_bm8x8u~ref
