Sequence  | Length  | Host                          | OpId                                                        | Address         | OpName        | OpSig                                                                           | Data| Operation
0         | 163     | intrinsics/dinxsfp            | load_(32f)                                                  | 7ff7c85d36c0h   | load          | Vector128<float> load(float x)                                                  | c5 f8 77 66 90 c5 fa 11 4c 24 10 c5 fa 10 44 24 10 c5 f9 11 01 48 8b c1 c3 cc cc cc 19 00 00 00 40 00 00 00 00 00 00 00 a8 d0 92 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fb 11 4c 24 10 c5 fb 10 44 24 10 c5 f9 11 01 48 8b c1 c3 cc cc cc 19 00 00 00 40 00 00 00 00 00 00 00 18 d1 92 c8 f7 7f 00 00 50 c5 f8 77 33 c0 89 44 24 04 c5 f8 57 c0 c5 fa 11 44 24 04 c5 f9 10 01 c5 fa 11 44 24 04 c5 fa 10 44 24 04 48 83 c4 08 c3 cc cc cc cc cc 00 00 19 01 01 00 01 02 00 00 40 00 00 00 00 00 00 00 00 00 00
1         | 115     | intrinsics/dinxsfp            | load_(64f)                                                  | 7ff7c85d36f0h   | load          | Vector128<double> load(double x)                                                | c5 f8 77 66 90 c5 fb 11 4c 24 10 c5 fb 10 44 24 10 c5 f9 11 01 48 8b c1 c3 cc cc cc 19 00 00 00 40 00 00 00 00 00 00 00 18 d1 92 c8 f7 7f 00 00 50 c5 f8 77 33 c0 89 44 24 04 c5 f8 57 c0 c5 fa 11 44 24 04 c5 f9 10 01 c5 fa 11 44 24 04 c5 fa 10 44 24 04 48 83 c4 08 c3 cc cc cc cc cc 00 00 19 01 01 00 01 02 00 00 40 00 00 00 00 00 00 00 00 00 00
2         | 67      | intrinsics/dinxsfp            | store_(v128x32f)                                            | 7ff7c85d3720h   | store         | float store(Vector128<float> src)                                               | 50 c5 f8 77 33 c0 89 44 24 04 c5 f8 57 c0 c5 fa 11 44 24 04 c5 f9 10 01 c5 fa 11 44 24 04 c5 fa 10 44 24 04 48 83 c4 08 c3 cc cc cc cc cc 00 00 19 01 01 00 01 02 00 00 40 00 00 00 00 00 00 00 00 00 00
3         | 103     | intrinsics/dinxsfp            | store_(v128x64f)                                            | 7ff7c85d3770h   | store         | double store(Vector128<double> src)                                             | 50 c5 f8 77 33 c0 48 89 04 24 c5 f8 57 c0 c5 fb 11 04 24 c5 f9 10 01 c5 fb 11 04 24 c5 fb 10 04 24 48 83 c4 08 c3 cc cc cc cc cc 00 19 01 01 00 01 02 00 00 40 00 00 00 e0 d1 92 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f8 57 c0 c5 fb 2a c1 c5 f9 11 02 48 8b c2 c3 cc cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
4         | 39      | intrinsics/dinxsfp            | convert_(32i,v128x64f~out)                                  | 7ff7c85d37b0h   | convert       | ref Vector128<double> convert(int x, out Vector128<double> dst)                 | c5 f8 77 66 90 c5 f8 57 c0 c5 fb 2a c1 c5 f9 11 02 48 8b c2 c3 cc cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
5         | 39      | intrinsics/dinxsfp            | convert_(32i,v128x32f~out)                                  | 7ff7c85d37e0h   | convert       | ref Vector128<float> convert(int src, out Vector128<float> dst)                 | c5 f8 77 66 90 c5 f8 57 c0 c5 fa 2a c1 c5 f9 11 02 48 8b c2 c3 cc cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
6         | 39      | intrinsics/dinxsfp            | convert_(64i,v128x32f~out)                                  | 7ff7c85d3810h   | convert       | ref Vector128<float> convert(long src, out Vector128<float> dst)                | c5 f8 77 66 90 c5 f8 57 c0 c4 e1 fa 2a c1 c5 f9 11 02 48 8b c2 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
7         | 35      | intrinsics/dinxsfp            | to32i_(32f)                                                 | 7ff7c85d3840h   | to32i         | int to32i(float x)                                                              | c5 f8 77 66 90 c5 fa 11 44 24 08 c5 fa 2d 44 24 08 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
8         | 35      | intrinsics/dinxsfp            | to32i_(64f)                                                 | 7ff7c85d3870h   | to32i         | int to32i(double x)                                                             | c5 f8 77 66 90 c5 fb 11 44 24 08 c5 fb 2d 44 24 08 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
9         | 35      | intrinsics/dinxsfp            | to64i_(32f)                                                 | 7ff7c85d38a0h   | to64i         | long to64i(float x)                                                             | c5 f8 77 66 90 c5 fa 11 44 24 08 c4 e1 fa 2d 44 24 08 c3 cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
