Sequence  | Address         | Length  | Host                          | OpId                                                        | OpName        | OpSig                                                                           | Data
0         | 7ff7c7e5a9d0h   | 67      | asmcore/AsmConstructs         | alloc_g[8u](32i)                                            | alloc         | Span<byte> alloc<byte>(int len)                                                 | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 10 ea 70 c7 f7 7f 00 00 e8 f6 c3 40 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3 19 05 02 00 05 32 01 60 40 00 00 00 00 00 00 00 00 00 00
1         | 7ff7c7e5d7b0h   | 67      | asmcore/AsmConstructs         | alloc_g[8i](32i)                                            | alloc         | Span<sbyte> alloc<sbyte>(int len)                                               | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 98 f0 70 c7 f7 7f 00 00 e8 16 96 40 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3 19 05 02 00 05 32 01 60 40 00 00 00 00 00 00 00 00 00 00
2         | 7ff7c7e5d800h   | 67      | asmcore/AsmConstructs         | alloc_g[16u](32i)                                           | alloc         | Span<ushort> alloc<ushort>(int len)                                             | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 40 7b 05 c8 f7 7f 00 00 e8 c6 95 40 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3 19 05 02 00 05 32 01 60 40 00 00 00 00 00 00 00 00 00 00
3         | 7ff7c7e5d850h   | 67      | asmcore/AsmConstructs         | alloc_g[16i](32i)                                           | alloc         | Span<short> alloc<short>(int len)                                               | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 40 81 05 c8 f7 7f 00 00 e8 76 95 40 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3 19 05 02 00 05 32 01 60 40 00 00 00 00 00 00 00 00 00 00
4         | 7ff7c7e5d8a0h   | 67      | asmcore/AsmConstructs         | alloc_g[32u](32i)                                           | alloc         | Span<uint> alloc<uint>(int len)                                                 | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 20 84 05 c8 f7 7f 00 00 e8 26 95 40 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3 19 05 02 00 05 32 01 60 40 00 00 00 00 00 00 00 00 00 00
5         | 7ff7c7e5da10h   | 67      | asmcore/AsmConstructs         | alloc_g[32i](32i)                                           | alloc         | Span<int> alloc<int>(int len)                                                   | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 48 5f 7d c7 f7 7f 00 00 e8 b6 93 40 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3 19 05 02 00 05 32 01 60 40 00 00 00 00 00 00 00 00 00 00
6         | 7ff7c7e5da60h   | 67      | asmcore/AsmConstructs         | alloc_g[64u](32i)                                           | alloc         | Span<ulong> alloc<ulong>(int len)                                               | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 c8 70 a0 c7 f7 7f 00 00 e8 66 93 40 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3 19 05 02 00 05 32 01 60 40 00 00 00 00 00 00 00 00 00 00
7         | 7ff7c7e5e0f0h   | 67      | asmcore/AsmConstructs         | alloc_g[64i](32i)                                           | alloc         | Span<long> alloc<long>(int len)                                                 | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 c0 8c 05 c8 f7 7f 00 00 e8 d6 8c 40 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3 19 05 02 00 05 32 01 60 40 00 00 00 00 00 00 00 00 00 00
8         | 7ff7c7e5e240h   | 67      | asmcore/AsmConstructs         | alloc_g[32f](32i)                                           | alloc         | Span<float> alloc<float>(int len)                                               | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 00 ab b7 c7 f7 7f 00 00 e8 86 8b 40 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3 19 05 02 00 05 32 01 60 40 00 00 00 00 00 00 00 00 00 00
9         | 7ff7c7e5e3b0h   | 67      | asmcore/AsmConstructs         | alloc_g[64f](32i)                                           | alloc         | Span<double> alloc<double>(int len)                                             | 56 48 83 ec 20 48 8b f1 48 63 d2 48 b9 08 ad b7 c7 f7 7f 00 00 e8 16 8a 40 5f 48 8d 50 10 8b 40 08 48 89 16 89 46 08 48 8b c6 48 83 c4 20 5e c3 19 05 02 00 05 32 01 60 40 00 00 00 00 00 00 00 00 00 00
