Sequence  | Address         | Length  | Host                          | OpId                                                        | OpName        | OpSig                                                                           | Data
0         | 7ff7c8648790h   | 87      | root/BitConvert               | GetBytes_g[8u](8u~in)                                       | GetBytes      | Span<byte> GetBytes<byte>(in byte src)                                          | 57 56 48 83 ec 28 48 8b f1 48 8b fa 48 b9 10 ea 70 c7 f7 7f 00 00 ba 01 00 00 00 e8 30 e6 c1 5e 48 83 c0 10 ba 01 00 00 00 0f b6 0f 88 08 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3 00 00 19 06 03 00 06 42 02 60 01 70 00 00 40 00 00 00 00 00 00 00 00 00 00
1         | 7ff7c86487f0h   | 87      | root/BitConvert               | GetBytes_g[8i](8i~in)                                       | GetBytes      | Span<byte> GetBytes<sbyte>(in sbyte src)                                        | 57 56 48 83 ec 28 48 8b f1 48 8b fa 48 b9 10 ea 70 c7 f7 7f 00 00 ba 01 00 00 00 e8 d0 e5 c1 5e 48 83 c0 10 ba 01 00 00 00 48 0f be 0f 88 08 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3 00 19 06 03 00 06 42 02 60 01 70 00 00 40 00 00 00 00 00 00 00 00 00 00
2         | 7ff7c8648850h   | 87      | root/BitConvert               | GetBytes_g[16u](16u~in)                                     | GetBytes      | Span<byte> GetBytes<ushort>(in ushort src)                                      | 57 56 48 83 ec 28 48 8b f1 48 8b fa 48 b9 10 ea 70 c7 f7 7f 00 00 ba 02 00 00 00 e8 70 e5 c1 5e 48 83 c0 10 ba 02 00 00 00 0f b7 0f 66 89 08 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3 00 19 06 03 00 06 42 02 60 01 70 00 00 40 00 00 00 00 00 00 00 00 00 00
3         | 7ff7c86488b0h   | 87      | root/BitConvert               | GetBytes_g[16i](16i~in)                                     | GetBytes      | Span<byte> GetBytes<short>(in short src)                                        | 57 56 48 83 ec 28 48 8b f1 48 8b fa 48 b9 10 ea 70 c7 f7 7f 00 00 ba 02 00 00 00 e8 10 e5 c1 5e 48 83 c0 10 ba 02 00 00 00 48 0f bf 0f 66 89 08 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3 19 06 03 00 06 42 02 60 01 70 00 00 40 00 00 00 00 00 00 00 00 00 00
4         | 7ff7c8648910h   | 1112    | root/BitConvert               | GetBytes_g[32u](32u~in)                                     | GetBytes      | Span<byte> GetBytes<uint>(in uint src)                                          | 57 56 48 83 ec 28 48 8b f1 48 8b fa 48 b9 10 ea 70 c7 f7 7f 00 00 ba 04 00 00 00 e8 b0 e4 c1 5e 48 83 c0 10 ba 04 00 00 00 8b 0f 89 08 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3 00 00 00 19 06 03 00 06 42 02 60 01 70 00 00 40 00 00 00 02 00 00 00 00 00 00 00 e8 d3 cc c1 5e 5e 00 00 a0 8b b3 c8 f7 7f 00 00 e8 c3 cc c1 5e 5e 00 00 00 8c b3 c8 f7 7f 00 00 e8 b3 cc c1 5e 5e 00 00 60 8c b3 c8 f7 7f 00 00 e8 a3 cc c1 5e 5e 00 00 c0 8c b3 c8 f7 7f 00 00 e8 93 cc c1 5e 5e 00 00 20 8d b3 c8 f7 7f 00 00 e8 83 cc c1 5e 5e 00 00 80 8d b3 c8 f7 7f 00 00 e8 73 cc c1 5e 5e 00 00 e0 8d b3 c8 f7 7f 00 00 e8 63 cc c1 5e 5e 00 00 40 8e b3 c8 f7 7f 00 00 e8 53 cc c1 5e 5e 00 00 a0 8e b3 c8 f7 7f 00 00 e8 43 cc c1 5e 5e 00 00 00 8f b3 c8 f7 7f 00 00 e8 33 cc c1 5e 5e 00 00 60 8f b3 c8 f7 7f 00 00 e8 23 cc c1 5e 5e 00 00 c0 8f b3 c8 f7 7f 00 00 e8 13 cc c1 5e 5e 00 00 20 90 b3 c8 f7 7f 00 00 e8 03 cc c1 5e 5e 00 01 e8 fb cb c1 5e 5e 01 00 88 91 b3 c8 f7 7f 00 00 e8 eb cb c1 5e 5e 00 18 e8 e3 cb c1 5e 5e 01 17 e8 db cb c1 5e 5e 02 16 e8 d3 cb c1 5e 5e 03 15 e8 cb cb c1 5e 5e 04 14 e8 c3 cb c1 5e 5e 05 13 e8 bb cb c1 5e 5e 06 12 e8 b3 cb c1 5e 5e 07 11 e8 ab cb c1 5e 5e 08 10 e8 a3 cb c1 5e 5e 09 0f e8 9b cb c1 5e 5e 0a 0e e8 93 cb c1 5e 5e 0b 0d e8 8b cb c1 5e 5e 0c 0c e8 83 cb c1 5e 5e 0d 0b e8 7b cb c1 5e 5e 0e 0a e8 73 cb c1 5e 5e 0f 09 e8 6b cb c1 5e 5e 10 08 e8 63 cb c1 5e 5e 11 07 e8 5b cb c1 5e 5e 12 06 e8 53 cb c1 5e 5e 13 05 e8 4b cb c1 5e 5e 14 04 e8 43 cb c1 5e 5e 15 03 e8 3b cb c1 5e 5e 16 02 e8 33 cb c1 5e 5e 17 01 e8 2b cb c1 5e 5e 18 00 90 90 b3 c8 f7 7f 00 00 e8 1b cb c1 5e 5e 00 00 88 93 b3 c8 f7 7f 00 00 e8 0b cb c1 5e 5e 00 00 e8 93 b3 c8 f7 7f 00 00 e8 fb ca c1 5e 5e 00 00 48 94 b3 c8 f7 7f 00 00 e8 eb ca c1 5e 5e 00 00 a8 94 b3 c8 f7 7f 00 00 e8 db ca c1 5e 5e 00 00 08 95 b3 c8 f7 7f 00 00 e8 cb ca c1 5e 5e 00 00 68 95 b3 c8 f7 7f 00 00 e8 bb ca c1 5e 5e 00 00 c8 95 b3 c8 f7 7f 00 00 e8 ab ca c1 5e 5e 00 00 28 96 b3 c8 f7 7f 00 00 e8 9b ca c1 5e 5e 00 00 88 96 b3 c8 f7 7f 00 00 e8 8b ca c1 5e 5e 00 00 e8 96 b3 c8 f7 7f 00 00 e8 7b ca c1 5e 5e 00 00 48 97 b3 c8 f7 7f 00 00 e8 6b ca c1 5e 5e 00 00 a8 97 b3 c8 f7 7f 00 00 e8 5b ca c1 5e 5e 00 00 08 98 b3 c8 f7 7f 00 00 e8 4b ca c1 5e 5e 00 00 68 98 b3 c8 f7 7f 00 00 e8 3b ca c1 5e 5e 00 00 c8 98 b3 c8 f7 7f 00 00 e8 2b ca c1 5e 5e 00 00 28 99 b3 c8 f7 7f 00 00 e8 1b ca c1 5e 5e 00 00 88 99 b3 c8 f7 7f 00 00 e8 0b ca c1 5e 5e 00 00 e8 99 b3 c8 f7 7f 00 00 e8 fb c9 c1 5e 5e 00 00 48 9a b3 c8 f7 7f 00 00 e8 eb c9 c1 5e 5e 00 00 a8 9a b3 c8 f7 7f 00 00 e8 db c9 c1 5e 5e 00 00 08 9b b3 c8 f7 7f 00 00 e8 cb c9 c1 5e 5e 00 00 68 9b b3 c8 f7 7f 00 00 e8 bb c9 c1 5e 5e 00 00 c8 9b b3 c8 f7 7f 00 00 e8 ab c9 c1 5e 5e 00 00 28 9c b3 c8 f7 7f 00 00 e8 9b c9 c1 5e 5e 00 00 88 9c b3 c8 f7 7f 00 00 e8 8b c9 c1 5e 5e 00 00 e8 9c b3 c8 f7 7f 00 00 e8 7b c9 c1 5e 5e 00 00 48 9d b3 c8 f7 7f 00 00 e8 6b c9 c1 5e 5e 00 00 a8 9d b3 c8 f7 7f 00 00 e8 5b c9 c1 5e 5e 00 00 08 9e b3 c8 f7 7f 00 00 e8 4b c9 c1 5e 5e 00 00 68 9e b3 c8 f7 7f 00 00 e8 3b c9 c1 5e 5e 00 00 c8 9e b3 c8 f7 7f 00 00 e8 2b c9 c1 5e 5e 00 00 28 9f b3 c8 f7 7f 00 00 e8 1b c9 c1 5e 5e 00 00 88 9f b3 c8 f7 7f 00 00 e8 0b c9 c1 5e 5e 00 00 e8 9f b3 c8 f7 7f 00 00 e8 fb c8 c1 5e 5e 00 00 48 a0 b3 c8 f7 7f 00 00 e8 eb c8 c1 5e 5e 00 00 a8 a0 b3 c8 f7 7f 00 00 00 00 00 00 00 00 00 00
5         | 7ff7c8648d70h   | 87      | root/BitConvert               | GetBytes_g[32i](32i~in)                                     | GetBytes      | Span<byte> GetBytes<int>(in int src)                                            | 57 56 48 83 ec 28 48 8b f1 48 8b fa 48 b9 10 ea 70 c7 f7 7f 00 00 ba 04 00 00 00 e8 50 e0 c1 5e 48 83 c0 10 ba 04 00 00 00 8b 0f 89 08 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3 00 00 00 19 06 03 00 06 42 02 60 01 70 00 00 40 00 00 00 00 00 00 00 00 00 00
6         | 7ff7c8648dd0h   | 87      | root/BitConvert               | GetBytes_g[64u](64u~in)                                     | GetBytes      | Span<byte> GetBytes<ulong>(in ulong src)                                        | 57 56 48 83 ec 28 48 8b f1 48 8b fa 48 b9 10 ea 70 c7 f7 7f 00 00 ba 08 00 00 00 e8 f0 df c1 5e 48 83 c0 10 ba 08 00 00 00 48 8b 0f 48 89 08 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3 00 19 06 03 00 06 42 02 60 01 70 00 00 40 00 00 00 00 00 00 00 00 00 00
7         | 7ff7c8648e30h   | 87      | root/BitConvert               | GetBytes_g[64i](64i~in)                                     | GetBytes      | Span<byte> GetBytes<long>(in long src)                                          | 57 56 48 83 ec 28 48 8b f1 48 8b fa 48 b9 10 ea 70 c7 f7 7f 00 00 ba 08 00 00 00 e8 90 df c1 5e 48 83 c0 10 ba 08 00 00 00 48 8b 0f 48 89 08 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3 00 19 06 03 00 06 42 02 60 01 70 00 00 40 00 00 00 00 00 00 00 00 00 00
8         | 7ff7c8648e90h   | 435     | root/BitConvert               | GetBytes_g[32f](32f~in)                                     | GetBytes      | Span<byte> GetBytes<float>(in float src)                                        | 57 56 48 83 ec 28 c5 f8 77 48 8b f1 48 8b fa 48 b9 10 ea 70 c7 f7 7f 00 00 ba 04 00 00 00 e8 2d df c1 5e 48 83 c0 10 ba 04 00 00 00 c5 fa 10 07 c5 fa 11 00 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3 cc cc 00 00 19 06 03 00 06 42 02 60 01 70 00 00 40 00 00 00 10 aa b2 c8 f7 7f 00 00 57 56 48 83 ec 28 c5 f8 77 48 8b f1 48 8b fa 48 b9 10 ea 70 c7 f7 7f 00 00 ba 08 00 00 00 e8 cd de c1 5e 48 83 c0 10 ba 08 00 00 00 c5 fb 10 07 c5 fb 11 00 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3 cc cc 00 00 19 06 03 00 06 42 02 60 01 70 00 00 40 00 00 00 b8 ab b2 c8 f7 7f 00 00 48 83 ec 28 90 41 8b c0 45 8b d1 49 03 c2 44 8b 52 08 49 3b c2 77 18 48 8b 02 49 63 d0 48 03 c2 48 89 01 44 89 49 08 48 8b c1 48 83 c4 28 c3 e8 9c c1 0f ff cc 00 00 00 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 88 ac b2 c8 f7 7f 00 00 48 83 ec 28 90 41 8b c0 45 8b d1 49 03 c2 44 8b 52 08 49 3b c2 77 18 48 8b 02 49 63 d0 48 03 c2 48 89 01 44 89 49 08 48 8b c1 48 83 c4 28 c3 e8 4c c1 0f ff cc 00 00 00 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 10 ad b2 c8 f7 7f 00 00 48 83 ec 28 90 41 8b c0 45 8b d1 49 03 c2 44 8b 52 08 49 3b c2 77 23 48 8b 02 49 63 d0 48 8d 04 50 41 6b d1 02 70 0e 48 89 01 89 51 08 48 8b c1 48 83 c4 28 c3 e8 f6 6b d4 5e e8 f1 c0 0f ff cc 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 00 00 00
9         | 7ff7c8648ef0h   | 339     | root/BitConvert               | GetBytes_g[64f](64f~in)                                     | GetBytes      | Span<byte> GetBytes<double>(in double src)                                      | 57 56 48 83 ec 28 c5 f8 77 48 8b f1 48 8b fa 48 b9 10 ea 70 c7 f7 7f 00 00 ba 08 00 00 00 e8 cd de c1 5e 48 83 c0 10 ba 08 00 00 00 c5 fb 10 07 c5 fb 11 00 48 89 06 89 56 08 48 8b c6 48 83 c4 28 5e 5f c3 cc cc 00 00 19 06 03 00 06 42 02 60 01 70 00 00 40 00 00 00 b8 ab b2 c8 f7 7f 00 00 48 83 ec 28 90 41 8b c0 45 8b d1 49 03 c2 44 8b 52 08 49 3b c2 77 18 48 8b 02 49 63 d0 48 03 c2 48 89 01 44 89 49 08 48 8b c1 48 83 c4 28 c3 e8 9c c1 0f ff cc 00 00 00 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 88 ac b2 c8 f7 7f 00 00 48 83 ec 28 90 41 8b c0 45 8b d1 49 03 c2 44 8b 52 08 49 3b c2 77 18 48 8b 02 49 63 d0 48 03 c2 48 89 01 44 89 49 08 48 8b c1 48 83 c4 28 c3 e8 4c c1 0f ff cc 00 00 00 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 10 ad b2 c8 f7 7f 00 00 48 83 ec 28 90 41 8b c0 45 8b d1 49 03 c2 44 8b 52 08 49 3b c2 77 23 48 8b 02 49 63 d0 48 8d 04 50 41 6b d1 02 70 0e 48 89 01 89 51 08 48 8b c1 48 83 c4 28 c3 e8 f6 6b d4 5e e8 f1 c0 0f ff cc 19 04 01 00 04 42 00 00 40 00 00 00 00 00 00 00 00 00 00
