Sequence  | Address         | Length  | Uri                                                                                                           | OpSig                                                                                                         | Data
0         | 7ff7c867c5b0h   | 355     | hex://vectorized/direct?vstore#vstore_(v128x8i,8i~ref)                                                        | void vstore(Vector128<sbyte> src, ref sbyte dst)                                                              | c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 10 16 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 60 16 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 b0 16 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 00 17 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 50 17 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 a0 17 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 f0 17 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 40 18 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f8 11 02 c3 cc cc 19 00 00 00 40 00 00 00 90 18 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f9 11 02 c3 cc cc 19 00 00 00 40 00 00 00 e0 18 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c5 fe 7f 02 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
1         | 7ff7c867c5d0h   | 323     | hex://vectorized/direct?vstore#vstore_(v128x8u,8u~ref)                                                        | void vstore(Vector128<byte> src, ref byte dst)                                                                | c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 60 16 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 b0 16 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 00 17 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 50 17 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 a0 17 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 f0 17 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 40 18 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f8 11 02 c3 cc cc 19 00 00 00 40 00 00 00 90 18 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f9 11 02 c3 cc cc 19 00 00 00 40 00 00 00 e0 18 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c5 fe 7f 02 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
2         | 7ff7c867c5f0h   | 291     | hex://vectorized/direct?vstore#vstore_(v128x16i,16i~ref)                                                      | void vstore(Vector128<short> src, ref short dst)                                                              | c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 b0 16 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 00 17 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 50 17 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 a0 17 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 f0 17 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 40 18 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f8 11 02 c3 cc cc 19 00 00 00 40 00 00 00 90 18 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f9 11 02 c3 cc cc 19 00 00 00 40 00 00 00 e0 18 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c5 fe 7f 02 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
3         | 7ff7c867c610h   | 259     | hex://vectorized/direct?vstore#vstore_(v128x16u,16u~ref)                                                      | void vstore(Vector128<ushort> src, ref ushort dst)                                                            | c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 00 17 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 50 17 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 a0 17 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 f0 17 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 40 18 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f8 11 02 c3 cc cc 19 00 00 00 40 00 00 00 90 18 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f9 11 02 c3 cc cc 19 00 00 00 40 00 00 00 e0 18 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c5 fe 7f 02 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
4         | 7ff7c867c630h   | 227     | hex://vectorized/direct?vstore#vstore_(v128x32i,32i~ref)                                                      | void vstore(Vector128<int> src, ref int dst)                                                                  | c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 50 17 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 a0 17 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 f0 17 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 40 18 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f8 11 02 c3 cc cc 19 00 00 00 40 00 00 00 90 18 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f9 11 02 c3 cc cc 19 00 00 00 40 00 00 00 e0 18 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c5 fe 7f 02 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
5         | 7ff7c867c650h   | 195     | hex://vectorized/direct?vstore#vstore_(v128x32u,32u~ref)                                                      | void vstore(Vector128<uint> src, ref uint dst)                                                                | c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 a0 17 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 f0 17 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 40 18 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f8 11 02 c3 cc cc 19 00 00 00 40 00 00 00 90 18 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f9 11 02 c3 cc cc 19 00 00 00 40 00 00 00 e0 18 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c5 fe 7f 02 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
6         | 7ff7c867c670h   | 163     | hex://vectorized/direct?vstore#vstore_(v128x64i,64i~ref)                                                      | void vstore(Vector128<long> src, ref long dst)                                                                | c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 f0 17 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 40 18 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f8 11 02 c3 cc cc 19 00 00 00 40 00 00 00 90 18 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f9 11 02 c3 cc cc 19 00 00 00 40 00 00 00 e0 18 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c5 fe 7f 02 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
7         | 7ff7c867c690h   | 131     | hex://vectorized/direct?vstore#vstore_(v128x64u,64u~ref)                                                      | void vstore(Vector128<ulong> src, ref ulong dst)                                                              | c5 f8 77 66 90 c5 f9 10 01 c5 fa 7f 02 c3 cc cc 19 00 00 00 40 00 00 00 40 18 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f8 11 02 c3 cc cc 19 00 00 00 40 00 00 00 90 18 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f9 11 02 c3 cc cc 19 00 00 00 40 00 00 00 e0 18 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c5 fe 7f 02 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
8         | 7ff7c867c6b0h   | 99      | hex://vectorized/direct?vstore#vstore_(v128x32f,32f~ref)                                                      | void vstore(Vector128<float> src, ref float dst)                                                              | c5 f8 77 66 90 c5 f9 10 01 c5 f8 11 02 c3 cc cc 19 00 00 00 40 00 00 00 90 18 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 01 c5 f9 11 02 c3 cc cc 19 00 00 00 40 00 00 00 e0 18 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c5 fe 7f 02 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
9         | 7ff7c867c6d0h   | 67      | hex://vectorized/direct?vstore#vstore_(v128x64f,64f~ref)                                                      | void vstore(Vector128<double> src, ref double dst)                                                            | c5 f8 77 66 90 c5 f9 10 01 c5 f9 11 02 c3 cc cc 19 00 00 00 40 00 00 00 e0 18 c1 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 01 c5 fe 7f 02 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
